host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within an hour,100,100,Bernal Heights,Entire home/apt,5,2,329,4.82,1,119
within an hour,100,80,Bernal Heights,Entire home/apt,6,3,600,5,1,212
within an hour,98,81,Russian Hill,Entire home/apt,3,4,153,4.4,2,48
within an hour,100,78,Bayview,Entire home/apt,2,2,109,4.87,1,0
within an hour,80,91,Excelsior,Private room,2,1,75,4.98,1,204
within an hour,100,100,Bernal Heights,Private room,1,1,76,4.7,1,365
within an hour,100,99,Presidio,Entire home/apt,2,1,150,4.96,1,311
within a few hours,100,75,Sunset,Entire home/apt,6,4,252,4.77,2,122
within a day,100,80,Bernal Heights,Entire home/apt,6,4,245,5,2,357
within an hour,96.43234029939234,89,Mission,Entire home/apt,7,3,450,4.97,1,365
within an hour,100,95,Sunset,Entire home/apt,2,1,200,4.9,1,128
within a few hours,100,89,Twin Peaks,Private room,1,1,73,4.67,1,276
within an hour,100,100,Castro/Upper Market,Entire home/apt,2,1,215,4.98,1,203
within an hour,100,99,Castro/Upper Market,Entire home/apt,2,1,175,4.91,1,216
within an hour,100,96,Noe Valley,Entire home/apt,5,3,600,5,1,365
within an hour,98,100,Pacific Heights,Private room,5,3,179,4.44,1,276
within an hour,100,99,Mission,Entire home/apt,5,2,271,4.87,1,365
within an hour,100,100,Sunset,Entire home/apt,2,2,157,4.89,1,329
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,2,1,125,4.85,1,365
within an hour,100,100,Excelsior,Entire home/apt,4,2,68,4.7,1,198
within a day,100,43,Russian Hill,Entire home/apt,4,2,519,4.93,1,298
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,4,2,249,4.91,1,186
within an hour,100,100,Potrero Hill,Entire home/apt,2,1,129,4.9,1,216
within an hour,98,100,Pacific Heights,Hotel room,4,2,149,4.35,1,186
within an hour,100,73,North Beach,Private room,6,3,611,4.59,1,183
within an hour,100,83,Noe Valley,Entire home/apt,2,2,375,4.99,1,365
within an hour,100,100,Sunset,Entire home/apt,2,1,98,4.87,1,80
within an hour,100,95,Richmond,Entire home/apt,4,2,190,4.67,1,139
within an hour,100,0,Sunset,Entire home/apt,2,1,95,4.76,1,344
within an hour,96.43234029939234,91,Mission,Entire home/apt,4,2,198,4.79,1,355
within an hour,100,100,Nob Hill,Entire home/apt,2,1,130,5,1,0
within an hour,100,96,Excelsior,Private room,1,1,51,4.86,2,193
within an hour,96.43234029939234,100,Mission,Entire home/apt,6,4,325,5,1,365
within an hour,100,100,Western Addition,Entire home/apt,5,3,900,4.89,1,19
within an hour,100,100,Western Addition,Private room,2,1,200,4.88,1,17
within an hour,90,98,Noe Valley,Entire home/apt,8,3,443,4.85,2,29
within an hour,100,90,South of Market,Private room,2,1,119,4.96,1,306
within an hour,100,100,Noe Valley,Private room,1,1,99,4.87,1,137
within an hour,100,100,Noe Valley,Entire home/apt,2,1,106,4.88,1,279
within a few hours,100,100,Mission,Private room,4,4,49,4.81,1,185
within an hour,82,93,Nob Hill,Entire home/apt,2,1,123,4.57,1,337
within an hour,100,95,Haight Ashbury,Private room,2,1,80,4.89,1,365
within an hour,100,62,Sunset,Entire home/apt,8,5,545,4.95,3,333
within a few hours,100,100,Mission,Private room,2,2,49,4.67,1,185
within an hour,100,95,Twin Peaks,Entire home/apt,3,2,139,4.93,1,33
within an hour,100,100,Twin Peaks,Private room,2,1,108,4.9,1,148
within an hour,100,100,Marina,Private room,6,2,299,4.96,2,312
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,292,4.88,1,6
within an hour,96.43234029939234,87.44211994421188,Potrero Hill,Private room,2,1,500,4.43,1,0
within an hour,96.43234029939234,87.44211994421188,Potrero Hill,Private room,2,1,500,4.71,1,0
within an hour,96.43234029939234,87.44211994421188,Potrero Hill,Private room,4,2,500,4.5,1,0
within a day,100,6,Bernal Heights,Entire home/apt,5,6,557,5,2,14
within an hour,100,100,Sunset,Private room,3,2,59,4.88,1,72
within a few hours,80,93,Mission,Entire home/apt,2,1,200,4.89,1,364
within an hour,96.43234029939234,100,Bernal Heights,Entire home/apt,4,2,250,4.93,1,200
within an hour,96.43234029939234,100,Castro/Upper Market,Entire home/apt,5,3,280,4.9,1,365
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,4,2,250,5,1,365
within an hour,100,94,Noe Valley,Private room,2,1,250,4.86,1,1
within an hour,100,97,Noe Valley,Entire home/apt,2,1,285,4.98,1,28
within an hour,96.43234029939234,87.44211994421188,Pacific Heights,Entire home/apt,1,1,146,4,1,365
within an hour,96.43234029939234,87.44211994421188,Mission,Private room,2,1,50,5,1,365
within a few hours,100,75,Bernal Heights,Entire home/apt,2,1,110,4.83,1,109
within an hour,100,100,Sunset,Private room,3,2,62,4.86,1,365
within an hour,100,100,Mission,Private room,1,1,90,4.98,1,108
within an hour,100,100,Noe Valley,Entire home/apt,6,5,750,4.92,2,365
within a few hours,100,67,Castro/Upper Market,Entire home/apt,6,3,272,4.86,2,98
within an hour,100,99,Western Addition,Entire home/apt,2,1,98,4.84,1,301
within an hour,100,100,Western Addition,Entire home/apt,2,1,180,5,1,324
within an hour,100,100,Bernal Heights,Private room,2,1,110,4.75,1,365
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,299,4.8,1,6
within an hour,100,98,Haight Ashbury,Entire home/apt,2,1,166,4.76,1,307
within an hour,100,100,Mission,Entire home/apt,6,3,495,4.98,1,113
within an hour,100,100,Bernal Heights,Private room,2,1,120,4.88,1,311
within an hour,100,76,North Beach,Entire home/apt,3,2,375,5,1,365
within a few hours,100,83,Mission,Entire home/apt,2,1,115,5,1,28
within an hour,100,100,Parkside,Entire home/apt,10,6,184,4.83,2,365
within a few hours,100,91,Mission,Entire home/apt,3,2,200,4.94,1,285
within a few hours,100,94,Ocean View,Entire home/apt,2,1,99,4.88,1,4
within an hour,100,89,Western Addition,Entire home/apt,2,2,86,4.58,1,0
within an hour,100,89,Castro/Upper Market,Entire home/apt,2,1,145,4.95,1,273
within a few hours,100,77,Noe Valley,Entire home/apt,4,3,400,4.97,2,111
within an hour,92,83,Potrero Hill,Entire home/apt,6,1,173,4.72,1,365
within a few hours,100,50,Bayview,Entire home/apt,6,3,134,4.766641295546558,1,238
within an hour,100,100,Nob Hill,Entire home/apt,4,2,205,4.94,1,194
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,292,4.89,1,6
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,6,3,1000,4.72,2,0
within an hour,96.43234029939234,100,Noe Valley,Entire home/apt,2,1,145,5,1,340
within a day,100,60,Downtown/Civic Center,Hotel room,4,2,250,4.91,1,91
within a few hours,100,75,Haight Ashbury,Entire home/apt,2,1,171,5,1,365
within an hour,100,100,Potrero Hill,Entire home/apt,6,2,266,5,1,302
within a few hours,100,61,Noe Valley,Entire home/apt,5,3,395,4.92,2,317
within a few hours,100,80,Mission,Entire home/apt,2,1,265,5,1,365
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,2,1,150,5,1,365
within an hour,100,100,Noe Valley,Entire home/apt,4,2,364,4.9,1,361
within an hour,100,76,Pacific Heights,Entire home/apt,2,1,225,4,1,13
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,4,1,180,4.9,1,365
within an hour,96.43234029939234,87,Mission,Entire home/apt,8,5,400,4.86,1,365
within a few hours,100,100,Sunset,Entire home/apt,6,3,260,4.73,1,0
within a few hours,100,100,Sunset,Entire home/apt,4,2,174,4.81,1,0
within an hour,100,98,Richmond,Private room,4,2,95,4.77,1,75
within a few hours,100,89,Twin Peaks,Private room,1,2,120,4.83,1,184
within a few hours,100,100,Noe Valley,Entire home/apt,3,2,212,4.81,1,365
within a few hours,100,91,Presidio,Private room,2,1,149,4.94,1,314
within an hour,100,96,Excelsior,Private room,1,1,51,4.93,2,192
within an hour,100,100,Ocean View,Private room,2,1,129,4.84,1,189
within an hour,96.43234029939234,100,Mission,Entire home/apt,3,3,295,4.84,1,350
within an hour,96.43234029939234,87.44211994421188,Ocean View,Private room,4,2,235,4.93,1,2
within an hour,100,100,Noe Valley,Private room,2,1,124,4.97,1,251
within an hour,96.43234029939234,87.44211994421188,Sunset,Private room,2,1,190,4.92,1,6
within an hour,100,100,Bernal Heights,Entire home/apt,6,1.7826360095489384,250,4.88,1,365
within a few hours,100,100,Parkside,Entire home/apt,2,1,199,4.93,1,89
within an hour,100,100,Potrero Hill,Entire home/apt,4,1,188,4.92,1,210
within an hour,96.43234029939234,100,Parkside,Entire home/apt,4,2,140,4.82,1,179
within an hour,96.43234029939234,87.44211994421188,Ocean View,Private room,1,1,80,4.92,1,276
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,3,1,132,5,1,365
within an hour,100,98,Lakeshore,Private room,1,1,86,4.96,1,304
within an hour,100,98,Lakeshore,Private room,1,1,79,4.92,1,304
within an hour,96.43234029939234,87.44211994421188,Excelsior,Private room,1,1,50,5,1,365
within an hour,100,100,Downtown/Civic Center,Entire home/apt,4,2,499,4.75,1,362
within an hour,100,86,Western Addition,Entire home/apt,2,1,140,4.93,1,0
within an hour,100,100,South of Market,Entire home/apt,2,1,317,4.99,1,365
within an hour,100,100,Castro/Upper Market,Entire home/apt,12,10,900,4.83,3,354
within a few hours,100,97,Potrero Hill,Private room,2,1,176,4.95,1,11
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,2,1,129,4.9,1,241
within a day,100,98,Nob Hill,Entire home/apt,2,1,150,4.74,1,365
within a few hours,100,77,Pacific Heights,Entire home/apt,6,4,975,4.95,4,274
within a day,100,88,Bernal Heights,Entire home/apt,2,1,155,4.86,1,365
a few days or more,25,50,Western Addition,Entire home/apt,3,1,148,4.9,1,80
within an hour,100,96,Potrero Hill,Entire home/apt,3,1,207,4.99,1,311
within an hour,100,100,Noe Valley,Entire home/apt,5,3,223,4.84,1,298
within an hour,100,94,Mission,Private room,2,1,220,4.99,1,1
within an hour,100,100,Pacific Heights,Entire home/apt,8,4,850,4.83,2,115
within an hour,100,94,Noe Valley,Private room,2,1,200,4.97,1,1
within an hour,100,100,Castro/Upper Market,Private room,2,1,135,4.95,1,37
within an hour,100,95,Potrero Hill,Entire home/apt,6,3,546,4.88,2,186
within a few hours,100,100,Richmond,Entire home/apt,2,1,90,4.766641295546558,1,12
within an hour,100,100,South of Market,Entire home/apt,3,2,189,4.62,1,109
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,4,2,195,5,2,365
within an hour,96.43234029939234,100,Haight Ashbury,Entire home/apt,6,2,146,4.69,1,14
within an hour,100,87,Marina,Private room,2,1,395,4.6,1,293
within an hour,100,96,South of Market,Entire home/apt,4,3,163,4.92,1,245
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,2,2,100,4.67,1,333
within an hour,100,100,Excelsior,Entire home/apt,6,3,148,4.92,1,151
within an hour,100,100,Marina,Entire home/apt,2,2,135,4.9,1,41
within a few hours,100,100,Western Addition,Entire home/apt,2,1,185,4.85,1,126
within an hour,100,99,Ocean View,Private room,2,1,69,4.95,1,365
within a day,100,100,Twin Peaks,Entire home/apt,3,2,80,4.72,1,29
within an hour,100,96,Mission,Entire home/apt,6,4,575,4.94,2,357
within an hour,100,97,Presidio,Entire home/apt,6,5,293,4.88,3,209
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,5,2,145,3.33,2,365
within an hour,100,100,Marina,Private room,1,1,214,4.96,1,319
within a day,90,7,Russian Hill,Entire home/apt,4,2,230,4.71,1,304
within an hour,100,100,Castro/Upper Market,Private room,6,4,350,5,1,290
within an hour,100,87,Marina,Entire home/apt,4,2,328,5,1,295
within an hour,100,99,Russian Hill,Private room,2,2,189,4.75,1,365
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,306,4.92,1,6
within an hour,100,88,Castro/Upper Market,Entire home/apt,4,2,379,4.98,1,365
within an hour,100,94,Bayview,Entire home/apt,4,3,70,4.68,1,270
within an hour,100,100,Mission,Entire home/apt,5,4,209,4.94,1,365
within a day,100,67,Richmond,Entire home/apt,2,1,145,4.75,2,104
within an hour,100,100,Western Addition,Entire home/apt,4,2,128,4.86,1,96
within an hour,96.43234029939234,92,Bernal Heights,Entire home/apt,4,2,229,4.87,1,365
within an hour,96.43234029939234,100,Richmond,Entire home/apt,7,5,400,4.98,2,365
within an hour,100,99,Twin Peaks,Entire home/apt,4,2,327,4.93,2,58
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.76,1,365
within a day,100,87.44211994421188,Marina,Entire home/apt,2,1,399,5,1,245
within an hour,100,96,North Beach,Entire home/apt,4,2,399,4.95,1,357
within an hour,100,100,Twin Peaks,Entire home/apt,2,1,134,4.84,1,293
within an hour,100,98,Nob Hill,Entire home/apt,4,2,360,4.88,1,365
within an hour,100,100,Sunset,Private room,6,4,123,4.89,2,89
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.67,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.86,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.67,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.89,1,365
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,306,4.87,1,6
within a day,100,73,North Beach,Entire home/apt,4,2,620,4.99,1,197
within an hour,100,100,Bernal Heights,Entire home/apt,4,2,125,4.76,1,251
within an hour,100,96,Presidio,Entire home/apt,6,4,568,4.71,2,361
within an hour,96.43234029939234,100,Noe Valley,Entire home/apt,4,2,144,4.79,1,209
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.8,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,5,1,365
within an hour,96.43234029939234,100,Castro/Upper Market,Entire home/apt,7,3,495,5,2,365
within a few hours,100,100,Mission,Entire home/apt,6,3,230,4.81,2,105
within an hour,100,100,North Beach,Entire home/apt,4,3,170,4.92,1,68
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,190,4.88,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,190,5,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,250,5,1,365
within an hour,100,100,Sunset,Private room,2,1,110,4.92,1,311
within an hour,100,96,Richmond,Private room,1,1,77,4.67,1,365
within a few hours,100,93,Haight Ashbury,Private room,2,1,185,4.98,1,0
within an hour,100,100,Excelsior,Entire home/apt,10,8,350,4.91,3,365
within an hour,100,92,Haight Ashbury,Entire home/apt,4,1,235,4.9,1,181
within an hour,100,100,Richmond,Entire home/apt,2,1,134,4.93,1,365
within an hour,92,83,Potrero Hill,Entire home/apt,6,3,215,4.76,1,276
within an hour,100,62,Haight Ashbury,Entire home/apt,4,2,151,5,1,185
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,328,5,1,6
within an hour,100,96,Richmond,Entire home/apt,6,3,197,4.7,1,365
within an hour,96.43234029939234,100,Western Addition,Entire home/apt,2,1,450,4.92,1,28
within a few hours,100,100,Bernal Heights,Entire home/apt,1,1,71,4.73,1,273
within an hour,100,100,Bayview,Private room,2,1,105,4.84,1,1
within an hour,100,100,Castro/Upper Market,Entire home/apt,2,1,133,4.93,1,345
within an hour,100,100,Noe Valley,Entire home/apt,2,1,153,4.88,1,365
within an hour,96.43234029939234,87.44211994421188,Marina,Entire home/apt,4,1,250,5,1,365
within an hour,100,90,Excelsior,Private room,2,1,115,4.9,1,276
within an hour,100,100,Castro/Upper Market,Private room,2,1,131,4.85,1,16
within an hour,100,89,Western Addition,Entire home/apt,1,1,79,4.69,1,180
within a few hours,100,100,Financial District,Entire home/apt,2,1,499,5,1,338
within an hour,100,99,Twin Peaks,Entire home/apt,2,1,120,4.95,1,68
within an hour,100,99,Presidio,Private room,2,1,124,4.94,1,365
within an hour,100,100,Excelsior,Entire home/apt,2,1,101,4.94,1,201
within an hour,100,80,Noe Valley,Private room,5,1,150,5,2,219
within an hour,100,73,Marina,Private room,2,1,160,4.98,1,273
within an hour,100,87,Twin Peaks,Entire home/apt,3,2,139,4.89,1,187
within an hour,100,100,Excelsior,Entire home/apt,4,1,109,4.87,1,56
within an hour,100,90,Downtown/Civic Center,Entire home/apt,2,1,100,4.91,1,7
within an hour,100,88,Sunset,Entire home/apt,2,1,78,4.83,1,1
within a few hours,100,100,Sunset,Entire home/apt,3,1,95,4.56,1,156
within a few hours,100,50,Bernal Heights,Entire home/apt,3,3,250,4,2,185
within an hour,100,100,Bernal Heights,Private room,2,1,100,4.87,1,0
within an hour,100,100,South of Market,Entire home/apt,4,2,395,5,2,95
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,4,2,250,4.92,1,365
within an hour,100,100,Noe Valley,Entire home/apt,3,2,140,4.89,1,29
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,4,2,329,4.71,1,365
within a few hours,100,100,Marina,Entire home/apt,2,1,172,4.97,1,23
within a few hours,100,88,Western Addition,Entire home/apt,2,1,245,4.9,1,365
a few days or more,0,0,South of Market,Shared room,2,1,177,4.766641295546558,1,0
within an hour,100,100,Richmond,Entire home/apt,2,1,190,4.98,1,277
within a few hours,90,99,Bayview,Private room,2,1,56,4.14,1,365
within an hour,96.43234029939234,87.44211994421188,Russian Hill,Entire home/apt,4,2,550,4.6,1,0
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,4,1.7826360095489384,400,4.73,1,277
within an hour,100,96,Castro/Upper Market,Private room,1,1,128,4.7,1,320
within an hour,100,97,Mission,Entire home/apt,6,4,222,4.98,1,292
within a day,95,19,Downtown/Civic Center,Entire home/apt,8,4,685,5,2,6
within an hour,100,100,Bernal Heights,Entire home/apt,2,1,130,4.95,1,351
within an hour,96.43234029939234,87.44211994421188,Noe Valley,Entire home/apt,2,1,180,4.64,1,186
within an hour,100,90,Mission,Entire home/apt,3,1,99,4.4,1,115
within an hour,96.43234029939234,0,Lakeshore,Entire home/apt,3,1,185,5,1,102
within an hour,100,96,Castro/Upper Market,Entire home/apt,2,1,173,4.79,1,292
within an hour,96.43234029939234,100,Nob Hill,Entire home/apt,3,2,145,4.67,1,0
within an hour,100,99,Noe Valley,Private room,2,1,72,4.96,1,206
within an hour,90,48,Pacific Heights,Private room,4,1,169,5,1,166
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,5,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,4.5,1,365
within a few hours,100,0,Western Addition,Entire home/apt,4,5,313,4.45,1,0
within an hour,100,100,Western Addition,Private room,2,1,102,4.93,1,64
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,2,1,144,4.79,1,365
within an hour,100,100,Parkside,Entire home/apt,6,3,84,4.83,2,357
within an hour,96.43234029939234,33,South of Market,Entire home/apt,2,1,300,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Twin Peaks,Entire home/apt,6,4,695,5,2,0
within an hour,100,75,Downtown/Civic Center,Private room,2,1,128,4.85,1,160
within an hour,96.43234029939234,87.44211994421188,Noe Valley,Private room,1,1,48,5,1,365
within an hour,100,100,Mission,Private room,4,1,325,4.71,1,51
within a day,100,65,Ocean View,Private room,1,1,37,4.8,1,297
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,5,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,180,5,1,365
within an hour,100,100,Bernal Heights,Entire home/apt,6,4,312,4.96,2,303
within a few hours,100,93,Mission,Entire home/apt,2,1,136,4.97,1,244
within an hour,100,100,Mission,Private room,1,1,136,4.98,1,197
within an hour,96.43234029939234,100,Haight Ashbury,Entire home/apt,2,1,155,4.79,1,246
within an hour,96,100,Sunset,Private room,2,1,69,4.8,1,39
within an hour,96,100,Sunset,Private room,2,1,78,4.75,1,23
within an hour,90,48,Pacific Heights,Private room,4,2,240,4.97,1,119
within an hour,96.43234029939234,100,Excelsior,Entire home/apt,5,3,455,4.94,2,0
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,83,4.75,2,365
within an hour,96.43234029939234,0,Russian Hill,Entire home/apt,2,1,165,4.766641295546558,1,282
within an hour,100,98,Western Addition,Private room,2,2,157,4.79,1,19
within an hour,100,100,Ocean View,Entire home/apt,3,1,168,4.86,1,0
a few days or more,0,33,Parkside,Entire home/apt,5,3,200,4.51,1,0
within an hour,93,10,Chinatown,Private room,2,1,391,4.75,1,4
within an hour,100,73,Twin Peaks,Entire home/apt,4,2,310,4.91,2,14
within a few hours,100,100,Noe Valley,Private room,2,2,250,4.92,1,117
within a few hours,90,30,South of Market,Entire home/apt,2,1,48,4,1,186
within an hour,96.43234029939234,87.44211994421188,Nob Hill,Entire home/apt,4,2,175,4.71,1,0
within an hour,100,100,Richmond,Private room,2,1.7826360095489384,80,3.67,1,168
within a few hours,100,100,Lakeshore,Private room,4,1,75,4.82,1,276
within an hour,96.43234029939234,67,Noe Valley,Private room,1,1,139,4.96,1,59
within an hour,100,100,Western Addition,Entire home/apt,7,4,464,4.98,2,365
within an hour,100,100,Western Addition,Entire home/apt,2,1,150,4.85,1,281
within an hour,96.43234029939234,87.44211994421188,Mission,Private room,1,1,80,4.93,1,365
within an hour,100,100,Chinatown,Entire home/apt,4,2,399,4.71,1,50
within an hour,96.43234029939234,100,Mission,Entire home/apt,3,2,198,4.8,1,365
within an hour,100,50,Sunset,Entire home/apt,2,2,140,5,1,216
within an hour,100,100,Western Addition,Private room,2,1,144,4.97,1,318
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,2,1,185,4.8,1,4
within an hour,100,100,Parkside,Entire home/apt,10,5,398,4.81,2,192
within an hour,100,100,Downtown/Civic Center,Private room,2,1,89,4.47,1.2859279571232707,92
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,1,1,60,4.83,3,365
within an hour,96.43234029939234,67,Excelsior,Entire home/apt,5,3,80,4.95,1,180
within an hour,96.43234029939234,87.44211994421188,Pacific Heights,Entire home/apt,4,2,140,4.89,1,29
within a few hours,100,87,Bernal Heights,Entire home/apt,8,3,539,4.766641295546558,2,196
within an hour,100,100,Downtown/Civic Center,Entire home/apt,2,1,75,5,1,354
within an hour,96.43234029939234,87.44211994421188,Noe Valley,Private room,1,1,135,5,1,365
within an hour,100,100,Mission,Entire home/apt,10,4,566,4.88,4,354
within a few hours,100,100,Russian Hill,Entire home/apt,5,3,200,4.81,1,0
within an hour,100,100,Potrero Hill,Entire home/apt,4,2,85,4.7,1,134
within an hour,100,100,Mission,Entire home/apt,4,2,259,4.61,1,146
within a day,50,100,Presidio,Entire home/apt,2,2,160,4.6,1,350
within a few hours,100,50,Bernal Heights,Private room,2,1,80,4.92,2,365
within a few hours,100,100,South of Market,Entire home/apt,5,2,150,4.65,2,92
within a day,100,0,Noe Valley,Entire home/apt,6,4,275,4.85,1,1
within an hour,100,100,Castro/Upper Market,Entire home/apt,8,5,595,4.92,2,291
within an hour,100,100,Noe Valley,Entire home/apt,2,1,130,4.71,1,32
within an hour,100,100,Western Addition,Entire home/apt,5,3,279,4.93,1,358
within an hour,100,89,Haight Ashbury,Entire home/apt,3,2,550,5,2,215
within a few hours,100,96,Downtown/Civic Center,Private room,2,1,100,4.93,1,207
within a few hours,100,61,Nob Hill,Entire home/apt,2,1,101,4.86,1,68
within an hour,89,80,Mission,Entire home/apt,2,1,110,5,1,279
within an hour,100,97,Castro/Upper Market,Private room,2,1,200,4.9,2,152
within a few hours,100,96,Downtown/Civic Center,Private room,2,2,104,4.84,1,174
within an hour,100,60,South of Market,Entire home/apt,4,2,308,5,2,24
within a few hours,100,98,Castro/Upper Market,Entire home/apt,2,1,125,4.63,1,296
within an hour,100,100,Marina,Entire home/apt,5,3,225,4.58,1,6
within a day,100,100,Twin Peaks,Private room,2,1,150,4.92,1,96
within an hour,100,99,Bernal Heights,Private room,2,2,70,4.52,1,365
within an hour,100,75,Downtown/Civic Center,Private room,2,1,136,4.84,1,155
within an hour,100,75,Downtown/Civic Center,Private room,4,2,235,4.83,2,153
within a few hours,99,68,Downtown/Civic Center,Entire home/apt,2,1,125,4.91,1,365
within an hour,100,100,Richmond,Entire home/apt,4,2,399,5,2,298
within an hour,100,100,Mission,Entire home/apt,2,1,185,4.98,1,364
within a few hours,100,89,Twin Peaks,Private room,1,1,99,4.6,1,0
within a few hours,100,96,Downtown/Civic Center,Private room,2,1,189,5,2,18
within a few hours,100,96,Downtown/Civic Center,Private room,2,1,225,4.6,2,37
within an hour,100,100,Twin Peaks,Entire home/apt,2,1,114,4.92,1,150
within a few hours,100,91,Noe Valley,Entire home/apt,2,1,206,4.97,1,365
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Entire home/apt,4,6,500,5,2,365
within an hour,100,75,Downtown/Civic Center,Private room,4,2,289,4.89,1,361
within an hour,100,98,Western Addition,Private room,2,1,125,4.9,1,365
within an hour,100,81,Russian Hill,Entire home/apt,4,2,135,5,1,189
within an hour,100,98,Haight Ashbury,Entire home/apt,2,1,153,4.97,1,311
within a few hours,100,100,Noe Valley,Entire home/apt,2,1,117,5,1,142
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Private room,1,1,89,4.94,1,365
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,2,2,193,4.75,1,0
within an hour,100,100,Potrero Hill,Private room,2,1,79,4.9,1,101
within a few hours,100,91,Sunset,Entire home/apt,6,4,332,4.91,2,323
within an hour,100,100,Richmond,Entire home/apt,2,1,125,4.92,1,218
within a day,95,19,Downtown/Civic Center,Entire home/apt,4,2,299,4.73,1,6
within an hour,100,100,Parkside,Private room,2,1,110,4.89,1,364
within an hour,96.43234029939234,87.44211994421188,Richmond,Entire home/apt,4,2,150,4.92,1,365
within a day,100,100,Downtown/Civic Center,Entire home/apt,4,2,235,4.59,1,17
within a few hours,100,50,Bernal Heights,Private room,1,1,99,5,1,199
within an hour,100,100,Potrero Hill,Entire home/apt,4,2,150,4.92,1,67
within a few hours,99,68,Downtown/Civic Center,Entire home/apt,4,2,211,4.97,1,365
within an hour,100,86,Noe Valley,Entire home/apt,5,3,236,4.96,1,273
within an hour,96.43234029939234,100,Western Addition,Entire home/apt,2,1,200,4.96,1,365
within an hour,100,100,Bernal Heights,Entire home/apt,5,3,350,4.92,1,103
within an hour,100,95,Excelsior,Entire home/apt,6,3,334,4.95,2,188
within a few hours,100,100,Western Addition,Entire home/apt,2,1,145,4.89,1,83
within an hour,100,100,Bernal Heights,Private room,2,1,85,4.87,1,353
within a day,100,75,Richmond,Private room,1,1,120,4.8,1,278
within an hour,96.43234029939234,100,Sunset,Entire home/apt,4,2,301,4.94,2,280
within an hour,100,100,Russian Hill,Entire home/apt,6,4,525,4.94,2,50
within an hour,100,100,Bernal Heights,Entire home/apt,3,2,110,4.68,1,77
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,3,3,116,4.73,1,365
within a few hours,100,82,Nob Hill,Entire home/apt,3,2,199,4.8,1,365
within a few hours,100,93,Excelsior,Private room,2,2,125,4.94,1,308
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,2,1,95,5,1,321
