host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within a few hours,100,50,Western Addition,Entire home/apt,1,1,120,4.94,1,13
within a day,100,42,South of Market,Entire home/apt,2,1,80,4.72,1,278
within a few hours,100,83,Sunset,Entire home/apt,6,4,580,4.96,2,42
within a day,100,87.44211994421188,Castro/Upper Market,Entire home/apt,3,1,350,4.93,1,119
within an hour,96.43234029939234,88,Haight Ashbury,Private room,1,1,56,4.36,4,0
within an hour,100,100,Bernal Heights,Private room,2,1,96,4.86,1,186
within an hour,96.43234029939234,33,Richmond,Entire home/apt,6,1.7826360095489384,572,5,2,282
within a few hours,100,88,Richmond,Entire home/apt,2,1,140,4.84,1,266
within a few hours,100,88,Richmond,Entire home/apt,6,3,495,4.88,2,365
within a few hours,100,94,Pacific Heights,Private room,1,1,40,4.68,1.2859279571232707,197
within an hour,100,92,Twin Peaks,Entire home/apt,4,3,167,4.6,1,47
within an hour,100,92,Marina,Entire home/apt,1,1,85,4.31,1,36
within an hour,100,92,Twin Peaks,Entire home/apt,2,1,71,4.17,1,11
within an hour,100,100,Haight Ashbury,Entire home/apt,2,1,150,5,1,161
within an hour,100,92,Mission,Entire home/apt,4,2,157,4.74,1,96
within an hour,96.43234029939234,0,Castro/Upper Market,Entire home/apt,4,2,170,4.82,1,276
within a day,50,100,Haight Ashbury,Entire home/apt,2,3,150,4.88,1,232
within an hour,100,100,Financial District,Entire home/apt,2,2,93,4.41,1,42
within an hour,100,100,Chinatown,Entire home/apt,2,2,100,4.73,1,214
within an hour,100,98,Twin Peaks,Entire home/apt,4,2,229,4.88,1,58
a few days or more,0,0,Noe Valley,Private room,1,1,120,4.93,1.2859279571232707,0
within an hour,100,100,Bernal Heights,Private room,2,1,75,4.93,1,356
within an hour,96.43234029939234,87.44211994421188,North Beach,Entire home/apt,2,1,175,5,1,278
within an hour,100,100,Twin Peaks,Entire home/apt,8,5,291,4.83,1,96
within an hour,96.43234029939234,100,Downtown/Civic Center,Entire home/apt,2,1,175,4.8,1,1
within an hour,100,100,Russian Hill,Entire home/apt,2,1,149,4.81,1,365
within an hour,100,99,Haight Ashbury,Private room,2,1,71,4.71,2,365
within an hour,100,99,Haight Ashbury,Private room,4,2,72,4.6,2,365
within an hour,100,99,Haight Ashbury,Private room,2,1,64,4.54,2,12
within a few hours,90,39,Haight Ashbury,Entire home/apt,2,1,86,4.71,1,65
within an hour,100,100,Excelsior,Private room,1,1,49,4.74,2,310
within a few hours,100,60,Western Addition,Entire home/apt,3,2,250,4.78,1,127
within an hour,100,99,Haight Ashbury,Private room,2,1,64,4.51,2,4
within a few hours,90,77,Bernal Heights,Entire home/apt,3,1,239,4.8,1,16
within a few hours,100,85,Nob Hill,Entire home/apt,10,4,857,4.4,1,7
within an hour,100,83,Castro/Upper Market,Entire home/apt,3,3,143,4.94,1,272
within a few hours,100,100,Sunset,Entire home/apt,2,1,107,4.91,1,16
within an hour,100,100,Parkside,Entire home/apt,3,2,122,4.76,1,106
within an hour,100,100,Sunset,Entire home/apt,8,6,395,4.83,3,121
within an hour,100,100,Richmond,Private room,1,1,100,4.88,1,31
within a few hours,100,89,North Beach,Private room,2,1,100,4.34,1,201
within a few hours,100,71,Haight Ashbury,Entire home/apt,2,1,250,4.78,1,365
within an hour,96.43234029939234,87.44211994421188,Twin Peaks,Private room,3,2,115,5,1,365
within an hour,100,73,South of Market,Entire home/apt,2,1,117,4.89,1,123
within an hour,96.43234029939234,87.44211994421188,Sunset,Private room,2,2,60,4.54,1,365
within an hour,100,100,Potrero Hill,Entire home/apt,4,2,256,4.91,2,365
within an hour,89,81,Sunset,Private room,2,1,80,4.85,1,212
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,7,4,550,4.85,2,365
within an hour,96.43234029939234,100,Bernal Heights,Private room,1,1,48,4.39,1,278
within a day,100,27,Twin Peaks,Entire home/apt,2,1,64,4.78,1,302
within an hour,96.43234029939234,87.44211994421188,Sunset,Entire home/apt,4,2,190,4.79,1,302
within an hour,96.43234029939234,67,Financial District,Entire home/apt,4,2,120,4.43,1,1
within a day,100,72,Pacific Heights,Entire home/apt,6,4,525,4.88,2,17
within an hour,100,91,North Beach,Entire home/apt,5,2,585,4.92,1,365
within an hour,100,100,Excelsior,Private room,2,2,70,4.81,1.2859279571232707,338
within an hour,100,100,Mission,Entire home/apt,4,2,385,4.89,1,337
within a day,100,0,Western Addition,Entire home/apt,3,1,146,4.7,1,0
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,2,1,200,5,1,325
within a day,56,36,Haight Ashbury,Entire home/apt,6,3,125,4.72,1,146
within a day,100,0,Western Addition,Private room,1,1,57,5,1,0
within an hour,100,98,Haight Ashbury,Private room,4,4,145,4.82,1,60
within an hour,100,98,Mission,Private room,1,1,73,4.82,1,113
within a few hours,100,67,Western Addition,Private room,1,1,76,5,1,101
within a few hours,100,67,Presidio,Entire home/apt,2,1,75,4.8,1,186
within an hour,100,100,Bernal Heights,Entire home/apt,4,2,155,4.87,1,307
within a few hours,100,82,Mission,Private room,1,1,40,4.53,1,363
within an hour,100,100,Haight Ashbury,Entire home/apt,2,1,136,4.71,1,44
within a few hours,100,99,Bernal Heights,Entire home/apt,4,2,126,4.84,1,44
within a day,100,70,Mission,Entire home/apt,4,2,385,4.98,2,365
within an hour,100,97,Bernal Heights,Entire home/apt,4,2,177,4.94,1,306
within an hour,96.43234029939234,100,Ocean View,Private room,2,1,56,4.76,1,186
within an hour,96.43234029939234,87.44211994421188,Richmond,Private room,1,1,73,4.67,1,29
within an hour,96.43234029939234,87.44211994421188,Noe Valley,Entire home/apt,5,2,300,4.97,2,0
within a few hours,100,94,Pacific Heights,Entire home/apt,2,1,80,4.81,1,58
within an hour,100,98,Mission,Entire home/apt,3,3,105,4.74,1,186
within a day,100,77,Richmond,Private room,5,2,196,4.94,1,18
within an hour,100,100,Richmond,Private room,2,1,125,4.92,2,102
within an hour,100,100,Castro/Upper Market,Private room,1,1,77,4.88,1,285
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,2,1,150,4.89,1,365
within an hour,96.43234029939234,95,Sunset,Entire home/apt,5,4,270,4.97,2,277
within a day,70,88,Twin Peaks,Entire home/apt,5,3,176,4.83,2,180
within a few hours,90,39,Western Addition,Entire home/apt,2,1,100,4.38,1,90
within an hour,96.43234029939234,87.44211994421188,Sunset,Private room,1,1,44,4.47,1,365
within an hour,96.43234029939234,87.44211994421188,Parkside,Entire home/apt,2,1,160,4.84,1.2859279571232707,18
within an hour,100,100,Bernal Heights,Entire home/apt,2,1,168,4.95,1,32
within a few hours,100,79,Russian Hill,Entire home/apt,11,4,349,4.56,2,120
within a day,100,0,Bernal Heights,Private room,2,1,100,4.76,1,3
within a day,100,67,Western Addition,Entire home/apt,5,3,425,4.86,2,346
within an hour,100,94,Excelsior,Entire home/apt,2,1,225,4.89,1,0
within a few hours,100,84,Richmond,Entire home/apt,4,2,133,4.69,1,20
within an hour,100,100,Haight Ashbury,Entire home/apt,2,1,220,4.86,1,28
within an hour,100,100,Haight Ashbury,Entire home/apt,6,2,350,4.93,2,28
within an hour,100,100,Marina,Entire home/apt,2,2,360,4.93,1,246
within a few hours,100,91,Bernal Heights,Entire home/apt,6,6,187,4.53,2,233
within an hour,100,100,Financial District,Entire home/apt,6,2,290,5,2,62
within a day,100,25,Russian Hill,Entire home/apt,2,1,126,4.95,1,12
within an hour,96.43234029939234,0,Bayview,Private room,1,1,62,4.82,1,277
within an hour,100,100,Excelsior,Private room,1,1,85,5,1,166
within an hour,96.43234029939234,100,Bernal Heights,Entire home/apt,8,6,449,4.92,2,365
within an hour,100,100,Potrero Hill,Entire home/apt,6,3,659,4.83,3,338
within an hour,100,100,Castro/Upper Market,Entire home/apt,2,2,96,4.78,1,0
within an hour,100,97,Richmond,Entire home/apt,2,1,79,4.82,1,251
within a few hours,100,83,Noe Valley,Entire home/apt,2,1,119,4.88,1,289
within a day,100,100,Richmond,Entire home/apt,6,3,450,4.95,2,355
within an hour,100,100,Bernal Heights,Private room,2,2,80,4.98,1,225
within an hour,96.43234029939234,50,Haight Ashbury,Entire home/apt,6,3,250,4.93,1,187
within a few hours,100,97,Excelsior,Private room,1,1,72,4.91,1,345
